text,label,language,text_clean,label_encoded
"U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
",smishing,english,U have a secret admirer. REVEAL who thinks U R So special. Call <PHONE>. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care <PHONE>,1
"Nothing, i got msg frm tht unknown no..
",ham,english,"Nothing, i got msg frm tht unknown no..",0
"Sorry, got a late start, we're on the way
",ham,english,"Sorry, got a late start, we're on the way",0
"Auntie huai juan never pick up her phone
",ham,english,Auntie huai juan never pick up her phone,0
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please 
",ham,english,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please",0
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.
",smishing,english,"5 Free Top Polyphonic Tones call <PHONE>, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub <PHONE>.",1
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?
",ham,english,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",0
"So the sun is anti sleep medicine.
",ham,english,So the sun is anti sleep medicine.,0
"Lmao but its so fun...
",ham,english,Lmao but its so fun...,0
"Oh ho. Is this the first time u use these type of words
",ham,english,Oh ho. Is this the first time u use these type of words,0
"The basket's gettin full so I might be by tonight
",ham,english,The basket's gettin full so I might be by tonight,0
"Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
",ham,english,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,0
"Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
",ham,english,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,0
"At WHAT TIME should i come tomorrow
",ham,english,At WHAT TIME should i come tomorrow,0
"Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
",ham,english,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,0
"Yes we are chatting too.
",ham,english,Yes we are chatting too.,0
"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!
",ham,english,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",0
"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj
",ham,english,"&lt;#&gt; is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas &lt;#&gt; Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",0
"I need an 8th but I'm off campus atm, could I pick up in an hour or two?
",ham,english,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",0
"ok. I am a gentleman and will treat you with dignity and respect.
",ham,english,ok. I am a gentleman and will treat you with dignity and respect.,0
"Lara said she can loan me  &lt;#&gt; .
",ham,english,Lara said she can loan me &lt;#&gt; .,0
"Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
",smishing,english,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,1
"Convey my regards to him
",ham,english,Convey my regards to him,0
"Hi this is yijue, can i meet u at 11 tmr?
",ham,english,"Hi this is yijue, can i meet u at 11 tmr?",0
"Jesus christ bitch I'm trying to give you drugs answer your fucking phone
",ham,english,Jesus christ bitch I'm trying to give you drugs answer your fucking phone,0
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.
",ham,english,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",0
"Go chase after her and run her over while she's crossing the street
",ham,english,Go chase after her and run her over while she's crossing the street,0
"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
",ham,english,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
",ham,english,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0
"You are right. Meanwhile how's project twins comin up
",ham,english,You are right. Meanwhile how's project twins comin up,0
"Are you this much buzy
",ham,english,Are you this much buzy,0
"I'm hungry buy smth home...
",ham,english,I'm hungry buy smth home...,0
"Hey anyway i have to :-)
",ham,english,Hey anyway i have to :-),0
"K..give back my thanks.
",ham,english,K..give back my thanks.,0
"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?
",ham,english,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",0
"Wif my family booking tour package.
",ham,english,Wif my family booking tour package.,0
"Gud ni8 dear..slp well..take care..swt dreams..Muah..
",ham,english,Gud ni8 dear..slp well..take care..swt dreams..Muah..,0
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.
",ham,english,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",0
"Lol great now im getting hungry.
",ham,english,Lol great now im getting hungry.,0
"Wot about on wed nite I am 3 then but only til 9!
",ham,english,Wot about on wed nite I am 3 then but only til 9!,0
"I dont know what to do to come out of this so only am ask questions like this dont mistake me.
",ham,english,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,0
"You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
",smishing,english,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,1
"Is there any training tomorrow?
",ham,english,Is there any training tomorrow?,0
"We can go 4 e normal pilates after our intro...  
",ham,english,We can go 4 e normal pilates after our intro...,0
"What r u cooking me for dinner?
",ham,english,What r u cooking me for dinner?,0
"Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
",ham,english,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,0
"No no:)this is kallis home ground.amla home town is durban:)
",ham,english,No no:)this is kallis home ground.amla home town is durban:),0
"What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
",ham,english,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,0
"And by when you're done I mean now
",ham,english,And by when you're done I mean now,0
"Im just wondering what your doing right now?
",ham,english,Im just wondering what your doing right now?,0
"You have an important customer service announcement from PREMIER.
",smishing,english,You have an important customer service announcement from PREMIER.,1
"Hello- thanx for taking that call. I got a job! Starts on monday!
",ham,english,Hello- thanx for taking that call. I got a job! Starts on monday!,0
"Small problem in auction:)punj now asking tiwary
",ham,english,Small problem in auction:)punj now asking tiwary,0
"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
",ham,english,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0
"I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
",ham,english,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,0
"I'm still looking for a car to buy. And have not gone 4the driving test yet.
",ham,english,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0
"Awesome, that gonna be soon or later tonight?
",ham,english,"Awesome, that gonna be soon or later tonight?",0
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck
",ham,english,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",0
"Then why you not responding
",ham,english,Then why you not responding,0
"Ok lor...
",ham,english,Ok lor...,0
"Lmao ok I wont be needing u to do my hair anymore.
",ham,english,Lmao ok I wont be needing u to do my hair anymore.,0
"Exactly. Anyways how far. Is jide her to study or just visiting
",ham,english,Exactly. Anyways how far. Is jide her to study or just visiting,0
"Happy birthday to you....dear.with lots of love.rakhesh NRI
",ham,english,Happy birthday to you....dear.with lots of love.rakhesh NRI,0
"Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
",ham,english,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),0
"I love to cuddle! I want to hold you in my strong arms right now...
",ham,english,I love to cuddle! I want to hold you in my strong arms right now...,0
"We'll join the  &lt;#&gt;  bus
",ham,english,We'll join the &lt;#&gt; bus,0
"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...
",ham,english,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",0
"Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
",ham,english,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,0
"Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
",ham,english,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,0
"Honey boo I'm missing u.
",ham,english,Honey boo I'm missing u.,0
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU
",smishing,english,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1
"Still i have not checked it da. . .
",ham,english,Still i have not checked it da. . .,0
"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.
",ham,english,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",0
"hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
",ham,english,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0
"The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
",ham,english,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt; worth tonight if possible,0
"All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
",ham,english,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,0
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
",ham,english,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",0
"Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
",ham,english,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),0
"S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
",ham,english,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),0
"* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
",smishing,english,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,1
"I am waiting for your call sir.
",ham,english,I am waiting for your call sir.,0
"Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
",smishing,english,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,1
"What you need. You have a person to give na.
",ham,english,What you need. You have a person to give na.,0
"Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
",ham,english,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,0
"Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
",ham,english,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,0
"Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
",ham,english,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,0
"Its hard to believe things like this. All can say lie but think twice before saying anything to me.
",ham,english,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,0
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.
",ham,english,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",0
"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.
",ham,english,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",0
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020
",smishing,english,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare <PHONE>",1
"Filthy stories and GIRLS waiting for your
",smishing,english,Filthy stories and GIRLS waiting for your,1
"either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
",ham,english,either way works for me. I am &lt;#&gt; years old. Hope that doesnt bother you.,0
"I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
",ham,english,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,0
"Rofl. Its true to its name
",ham,english,Rofl. Its true to its name,0
"whatever, im pretty pissed off.
",ham,english,"whatever, im pretty pissed off.",0
"Wot is u up 2 then bitch?
",ham,english,Wot is u up 2 then bitch?,0
"Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
",ham,english,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,0
"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins
",smishing,english,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call <PHONE>Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1
"Ok...
",ham,english,Ok...,0
"Can't take any major roles in community outreach. You rock mel
",ham,english,Can't take any major roles in community outreach. You rock mel,0
"I not busy juz dun wan 2 go so early.. Hee.. 
",ham,english,I not busy juz dun wan 2 go so early.. Hee..,0
"""Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx""
",ham,english,"""Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx""",0
"Finish already... Yar they keep saying i mushy... I so embarrassed ok...
",ham,english,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,0
"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
",smishing,english,Please call our customer service representative on FREEPHONE <PHONE>between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1
"&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
",ham,english,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,0
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
",ham,english,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,0
"Not for possession, especially not first offense
",ham,english,"Not for possession, especially not first offense",0
"Jason says it's cool if we pick some up from his place in like an hour
",ham,english,Jason says it's cool if we pick some up from his place in like an hour,0
"As in missionary hook up, doggy hook up, standing...|
",ham,english,"As in missionary hook up, doggy hook up, standing...|",0
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
",ham,english,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0
"Am okay. Will soon be over. All the best
",ham,english,Am okay. Will soon be over. All the best,0
"Yar but they say got some error.
",ham,english,Yar but they say got some error.,0
"So how are you really. What are you up to. How's the masters. And so on.
",ham,english,So how are you really. What are you up to. How's the masters. And so on.,0
" said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! 
",ham,english,"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",0
"WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
",smishing,english,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs <URL>,1
"Then get some cash together and I'll text jason
",ham,english,Then get some cash together and I'll text jason,0
"Taka lor. Wat time u wan 2 come n look 4 us?
",ham,english,Taka lor. Wat time u wan 2 come n look 4 us?,0
"Infact happy new year. How are you where are you when are we seeing
",ham,english,Infact happy new year. How are you where are you when are we seeing,0
"Whatsup there. Dont u want to sleep
",ham,english,Whatsup there. Dont u want to sleep,0
"Juz go google n search 4 qet...
",ham,english,Juz go google n search 4 qet...,0
"Please leave this topic..sorry for telling that..
",ham,english,Please leave this topic..sorry for telling that..,0
"Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
",ham,english,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,0
"I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
",smishing,english,I'd like to tell you my deepest darkest fantasies. Call me <PHONE>just 60p/min. To stop texts call <PHONE> (nat rate),1
"7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
",ham,english,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,0
"Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
",smishing,english,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE <PHONE>to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,1
"No but the bluray player can
",ham,english,No but the bluray player can,0
"With my sis lor... We juz watched italian job.
",ham,english,With my sis lor... We juz watched italian job.,0
